# Time(ns) B(a.u.) 
-2949.99 9.46056e-05
-2948.76 -5.8955e-06
-2947.49 -6.87484e-06
-2946.26 -9.20023e-05
-2944.99 4.38654e-05
-2943.76 2.05463e-05
-2942.49 2.28518e-05
-2941.26 -3.90409e-06
-2939.99 2.23899e-05
-2938.76 -6.36061e-05
-2937.49 1.82139e-05
-2936.26 -0.000119575
-2934.99 8.32824e-06
-2933.76 -8.35622e-05
-2932.49 -5.67137e-05
-2931.26 -9.25976e-05
-2929.99 -5.58556e-06
-2928.76 1.8916e-05
-2927.49 8.52328e-05
-2926.26 -2.96622e-05
-2924.99 4.78709e-05
-2923.76 -9.02244e-06
-2922.49 5.10118e-05
-2921.26 -3.12328e-05
-2919.99 0.000136694
-2918.76 1.7678e-05
-2917.49 9.17185e-05
-2916.26 4.41752e-05
-2914.99 0.000108718
-2913.76 -1.2681e-05
-2912.49 9.22544e-05
-2911.26 -8.5605e-06
-2909.99 -1.74668e-05
-2908.76 -3.30991e-05
-2907.49 5.43749e-05
-2906.26 -9.37355e-06
-2904.99 4.92013e-05
-2903.76 -4.17467e-05
-2902.49 5.85219e-06
-2901.26 -2.57818e-05
-2899.99 7.7842e-05
-2898.76 2.58163e-06
-2897.49 -3.03563e-06
-2896.26 -6.50104e-05
-2894.99 5.27119e-05
-2893.76 1.91563e-05
-2892.49 0.000103175
-2891.26 3.62483e-05
-2889.99 0.000144011
-2888.76 -2.86459e-05
-2887.49 -4.94704e-05
-2886.26 -6.63409e-05
-2884.99 1.82693e-05
-2883.76 4.11633e-05
-2882.49 3.41602e-05
-2881.26 -2.73155e-05
-2879.99 3.15548e-05
-2878.76 -6.09268e-05
-2877.49 6.28562e-05
-2876.26 2.08747e-05
-2874.99 7.99483e-05
-2873.76 2.91712e-05
-2872.49 5.10489e-05
-2871.26 -4.61444e-05
-2869.99 4.44154e-05
-2868.76 4.59571e-06
-2867.49 7.59014e-05
-2866.26 -1.50093e-05
-2864.99 5.36728e-05
-2863.76 2.11149e-05
-2862.49 9.25502e-05
-2861.26 -7.42121e-05
-2859.99 6.82702e-05
-2858.76 1.27444e-05
-2857.49 9.1967e-06
-2856.26 1.59596e-05
